# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.675457 eV
#    Energy (eV)      DOS 
        -15.32454290          0.50271209
        -15.32187623          0.49700778
        -15.31920957          0.49127377
        -15.31654290          0.48551029
        -15.31387623          0.47971784
        -15.31120957          0.47389716
        -15.30854290          0.46804918
        -15.30587623          0.46217509
        -15.30320957          0.45627629
        -15.30054290          0.45035437
        -15.29787623          0.44441115
        -15.29520957          0.43844860
        -15.29254290          0.43246890
        -15.28987623          0.42647438
        -15.28720957          0.42046753
        -15.28454290          0.41445097
        -15.28187623          0.40842746
        -15.27920957          0.40239986
        -15.27654290          0.39637116
        -15.27387623          0.39034439
        -15.27120957          0.38432270
        -15.26854290          0.37830926
        -15.26587623          0.37230729
        -15.26320957          0.36632006
        -15.26054290          0.36035082
        -15.25787623          0.35440285
        -15.25520957          0.34847939
        -15.25254290          0.34258366
        -15.24987623          0.33671886
        -15.24720957          0.33088810
        -15.24454290          0.32509446
        -15.24187623          0.31934092
        -15.23920957          0.31363036
        -15.23654290          0.30796561
        -15.23387623          0.30234933
        -15.23120957          0.29678412
        -15.22854290          0.29127242
        -15.22587623          0.28581656
        -15.22320957          0.28041870
        -15.22054290          0.27508090
        -15.21787623          0.26980504
        -15.21520957          0.26459286
        -15.21254290          0.25944594
        -15.20987623          0.25436572
        -15.20720957          0.24935346
        -15.20454290          0.24441027
        -15.20187623          0.23953711
        -15.19920957          0.23473478
        -15.19654290          0.23000390
        -15.19387623          0.22534498
        -15.19120957          0.22075834
        -15.18854290          0.21624420
        -15.18587623          0.21180259
        -15.18320957          0.20743343
        -15.18054290          0.20313651
        -15.17787623          0.19891150
        -15.17520957          0.19475793
        -15.17254290          0.19067525
        -15.16987623          0.18666278
        -15.16720957          0.18271975
        -15.16454290          0.17884531
        -15.16187623          0.17503853
        -15.15920957          0.17129839
        -15.15654290          0.16762382
        -15.15387623          0.16401369
        -15.15120957          0.16046681
        -15.14854290          0.15698197
        -15.14587623          0.15355791
        -15.14320957          0.15019335
        -15.14054290          0.14688699
        -15.13787623          0.14363752
        -15.13520957          0.14044362
        -15.13254290          0.13730399
        -15.12987623          0.13421733
        -15.12720957          0.13118233
        -15.12454290          0.12819774
        -15.12187623          0.12526232
        -15.11920957          0.12237486
        -15.11654290          0.11953417
        -15.11387623          0.11673912
        -15.11120957          0.11398863
        -15.10854290          0.11128163
        -15.10587623          0.10861714
        -15.10320957          0.10599420
        -15.10054290          0.10341191
        -15.09787623          0.10086944
        -15.09520957          0.09836600
        -15.09254290          0.09590085
        -15.08987623          0.09347332
        -15.08720957          0.09108278
        -15.08454290          0.08872868
        -15.08187623          0.08641049
        -15.07920957          0.08412776
        -15.07654290          0.08188008
        -15.07387623          0.07966709
        -15.07120957          0.07748848
        -15.06854290          0.07534398
        -15.06587623          0.07323338
        -15.06320957          0.07115647
        -15.06054290          0.06911313
        -15.05787623          0.06710323
        -15.05520957          0.06512669
        -15.05254290          0.06318346
        -15.04987623          0.06127351
        -15.04720957          0.05939684
        -15.04454290          0.05755345
        -15.04187623          0.05574337
        -15.03920957          0.05396664
        -15.03654290          0.05222331
        -15.03387623          0.05051342
        -15.03120957          0.04883704
        -15.02854290          0.04719421
        -15.02587623          0.04558500
        -15.02320957          0.04400944
        -15.02054290          0.04246758
        -15.01787623          0.04095943
        -15.01520957          0.03948503
        -15.01254290          0.03804436
        -15.00987623          0.03663741
        -15.00720957          0.03526415
        -15.00454290          0.03392452
        -15.00187623          0.03261844
        -14.99920957          0.03134582
        -14.99654290          0.03010653
        -14.99387623          0.02890043
        -14.99120957          0.02772734
        -14.98854290          0.02658707
        -14.98587623          0.02547940
        -14.98320957          0.02440408
        -14.98054290          0.02336083
        -14.97787623          0.02234935
        -14.97520957          0.02136933
        -14.97254290          0.02042041
        -14.96987623          0.01950221
        -14.96720957          0.01861435
