# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.48442499
        -19.99733333          0.47822941
        -19.99466667          0.47201528
        -19.99200000          0.46578397
        -19.98933333          0.45953706
        -19.98666667          0.45327631
        -19.98400000          0.44700365
        -19.98133333          0.44072118
        -19.97866667          0.43443117
        -19.97600000          0.42813600
        -19.97333333          0.42183820
        -19.97066667          0.41554041
        -19.96800000          0.40924538
        -19.96533333          0.40295594
        -19.96266667          0.39667501
        -19.96000000          0.39040556
        -19.95733333          0.38415062
        -19.95466667          0.37791324
        -19.95200000          0.37169650
        -19.94933333          0.36550350
        -19.94666667          0.35933730
        -19.94400000          0.35320098
        -19.94133333          0.34709755
        -19.93866667          0.34103002
        -19.93600000          0.33500129
        -19.93333333          0.32901424
        -19.93066667          0.32307166
        -19.92800000          0.31717622
        -19.92533333          0.31133054
        -19.92266667          0.30553711
        -19.92000000          0.29979829
        -19.91733333          0.29411636
        -19.91466667          0.28849343
        -19.91200000          0.28293151
        -19.90933333          0.27743245
        -19.90666667          0.27199797
        -19.90400000          0.26662964
        -19.90133333          0.26132889
        -19.89866667          0.25609700
        -19.89600000          0.25093509
        -19.89333333          0.24584413
        -19.89066667          0.24082497
        -19.88800000          0.23587828
        -19.88533333          0.23100461
        -19.88266667          0.22620435
        -19.88000000          0.22147776
        -19.87733333          0.21682497
        -19.87466667          0.21224597
        -19.87200000          0.20774064
        -19.86933333          0.20330874
        -19.86666667          0.19894989
        -19.86400000          0.19466365
        -19.86133333          0.19044944
        -19.85866667          0.18630662
        -19.85600000          0.18223443
        -19.85333333          0.17823206
        -19.85066667          0.17429863
        -19.84800000          0.17043317
        -19.84533333          0.16663467
        -19.84266667          0.16290209
        -19.84000000          0.15923432
        -19.83733333          0.15563023
        -19.83466667          0.15208866
        -19.83200000          0.14860844
        -19.82933333          0.14518838
        -19.82666667          0.14182727
        -19.82400000          0.13852392
        -19.82133333          0.13527715
        -19.81866667          0.13208576
        -19.81600000          0.12894861
        -19.81333333          0.12586454
        -19.81066667          0.12283244
        -19.80800000          0.11985122
        -19.80533333          0.11691984
        -19.80266667          0.11403727
        -19.80000000          0.11120253
        -19.79733333          0.10841470
        -19.79466667          0.10567288
        -19.79200000          0.10297623
        -19.78933333          0.10032394
        -19.78666667          0.09771527
        -19.78400000          0.09514950
        -19.78133333          0.09262600
        -19.77866667          0.09014413
        -19.77600000          0.08770336
        -19.77333333          0.08530315
        -19.77066667          0.08294304
        -19.76800000          0.08062260
        -19.76533333          0.07834145
        -19.76266667          0.07609923
        -19.76000000          0.07389565
        -19.75733333          0.07173043
        -19.75466667          0.06960332
        -19.75200000          0.06751412
        -19.74933333          0.06546264
        -19.74666667          0.06344874
        -19.74400000          0.06147226
        -19.74133333          0.05953309
        -19.73866667          0.05763114
        -19.73600000          0.05576631
        -19.73333333          0.05393852
        -19.73066667          0.05214770
        -19.72800000          0.05039379
        -19.72533333          0.04867673
        -19.72266667          0.04699644
        -19.72000000          0.04535286
        -19.71733333          0.04374591
        -19.71466667          0.04217552
        -19.71200000          0.04064158
        -19.70933333          0.03914401
        -19.70666667          0.03768267
        -19.70400000          0.03625743
        -19.70133333          0.03486815
        -19.69866667          0.03351465
        -19.69600000          0.03219676
        -19.69333333          0.03091425
        -19.69066667          0.02966690
        -19.68800000          0.02845445
        -19.68533333          0.02727664
        -19.68266667          0.02613316
        -19.68000000          0.02502370
        -19.67733333          0.02394790
        -19.67466667          0.02290541
        -19.67200000          0.02189583
        -19.66933333          0.02091876
        -19.66666667          0.01997375
        -19.66400000          0.01906036
        -19.66133333          0.01817810
        -19.65866667          0.01732649
        -19.65600000          0.01650501
        -19.65333333          0.01571313
        -19.65066667          0.01495030
        -19.64800000          0.01421596
        -19.64533333          0.01350953
        -19.64266667          0.01283041
        -19.64000000          0.01217801
        -19.63733333          0.01155170
        -19.63466667          0.01095088
        -19.63200000          0.01037489
        -19.62933333          0.00982312
        -19.62666667          0.00929491
        -19.62400000          0.00878962
        -19.62133333          0.00830659
        -19.61866667          0.00784518
        -19.61600000          0.00740474
        -19.61333333          0.00698460
        -19.61066667          0.00658413
        -19.60800000          0.00620268
        -19.60533333          0.00583961
        -19.60266667          0.00549427
        -19.60000000          0.00516605
        -19.59733333          0.00485432
        -19.59466667          0.00455847
        -19.59200000          0.00427789
        -19.58933333          0.00401199
        -19.58666667          0.00376018
        -19.58400000          0.00352189
        -19.58133333          0.00329655
        -19.57866667          0.00308363
        -19.57600000          0.00288258
        -19.57333333          0.00269288
        -19.57066667          0.00251401
        -19.56800000          0.00234549
        -19.56533333          0.00218683
        -19.56266667          0.00203757
        -19.56000000          0.00189724
        -19.55733333          0.00176541
        -19.55466667          0.00164166
        -19.55200000          0.00152558
        -19.54933333          0.00141677
        -19.54666667          0.00131484
        -19.54400000          0.00121944
        -19.54133333          0.00113022
        -19.53866667          0.00104682
        -19.53600000          0.00096894
        -19.53333333          0.00089625
        -19.53066667          0.00082846
        -19.52800000          0.00076529
        -19.52533333          0.00070647
        -19.52266667          0.00065173
        -19.52000000          0.00060083
        -19.51733333          0.00055353
        -19.51466667          0.00050962
        -19.51200000          0.00046887
