# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.46188197
        -19.99733333          0.45528295
        -19.99466667          0.44868176
        -19.99200000          0.44208057
        -19.98933333          0.43548172
        -19.98666667          0.42888763
        -19.98400000          0.42230085
        -19.98133333          0.41572400
        -19.97866667          0.40915978
        -19.97600000          0.40261099
        -19.97333333          0.39608044
        -19.97066667          0.38957101
        -19.96800000          0.38308558
        -19.96533333          0.37662707
        -19.96266667          0.37019838
        -19.96000000          0.36380242
        -19.95733333          0.35744206
        -19.95466667          0.35112013
        -19.95200000          0.34483942
        -19.94933333          0.33860267
        -19.94666667          0.33241254
        -19.94400000          0.32627161
        -19.94133333          0.32018238
        -19.93866667          0.31414725
        -19.93600000          0.30816852
        -19.93333333          0.30224837
        -19.93066667          0.29638887
        -19.92800000          0.29059196
        -19.92533333          0.28485947
        -19.92266667          0.27919307
        -19.92000000          0.27359432
        -19.91733333          0.26806464
        -19.91466667          0.26260529
        -19.91200000          0.25721741
        -19.90933333          0.25190201
        -19.90666667          0.24665992
        -19.90400000          0.24149188
        -19.90133333          0.23639845
        -19.89866667          0.23138010
        -19.89600000          0.22643713
        -19.89333333          0.22156974
        -19.89066667          0.21677799
        -19.88800000          0.21206183
        -19.88533333          0.20742111
        -19.88266667          0.20285555
        -19.88000000          0.19836478
        -19.87733333          0.19394833
        -19.87466667          0.18960566
        -19.87200000          0.18533611
        -19.86933333          0.18113899
        -19.86666667          0.17701350
        -19.86400000          0.17295881
        -19.86133333          0.16897402
        -19.85866667          0.16505818
        -19.85600000          0.16121031
        -19.85333333          0.15742940
        -19.85066667          0.15371438
        -19.84800000          0.15006420
        -19.84533333          0.14647777
        -19.84266667          0.14295400
        -19.84000000          0.13949180
        -19.83733333          0.13609006
        -19.83466667          0.13274772
        -19.83200000          0.12946368
        -19.82933333          0.12623690
        -19.82666667          0.12306634
        -19.82400000          0.11995099
        -19.82133333          0.11688986
        -19.81866667          0.11388199
        -19.81600000          0.11092647
        -19.81333333          0.10802241
        -19.81066667          0.10516897
        -19.80800000          0.10236531
        -19.80533333          0.09961069
        -19.80266667          0.09690436
        -19.80000000          0.09424563
        -19.79733333          0.09163385
        -19.79466667          0.08906840
        -19.79200000          0.08654872
        -19.78933333          0.08407427
        -19.78666667          0.08164455
        -19.78400000          0.07925910
        -19.78133333          0.07691750
        -19.77866667          0.07461934
        -19.77600000          0.07236426
        -19.77333333          0.07015193
        -19.77066667          0.06798204
        -19.76800000          0.06585430
        -19.76533333          0.06376844
        -19.76266667          0.06172421
        -19.76000000          0.05972140
        -19.75733333          0.05775977
        -19.75466667          0.05583912
        -19.75200000          0.05395926
        -19.74933333          0.05212000
        -19.74666667          0.05032114
        -19.74400000          0.04856249
        -19.74133333          0.04684388
        -19.73866667          0.04516511
        -19.73600000          0.04352597
        -19.73333333          0.04192628
        -19.73066667          0.04036580
        -19.72800000          0.03884432
        -19.72533333          0.03736160
