phase,n_atoms_per_cell,V0_per_atom_A3,B0_GPa,B0_prime,rmse_meV
bcc,2,26.34460374520548,35.0690633497419,4.89074700850325,9.622845194125132
cl,4,21.903132952832287,39.283613431840784,4.249219507818574,113.15659660110364
fcc,4,21.396969633898447,44.21543548060548,4.031534701637963,23.78697492833864
