# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -8.553552 eV
#    Energy (eV)      DOS 
        -11.44644846          0.00000000
        -11.44378179          0.00000000
        -11.44111513          0.00000000
        -11.43844846          0.00000000
        -11.43578179          0.00000000
        -11.43311513          0.00000000
        -11.43044846          0.00000000
        -11.42778179          0.00000000
        -11.42511513          0.00000000
        -11.42244846          0.00000000
        -11.41978179          0.00000000
        -11.41711513          0.00000000
        -11.41444846          0.00000000
        -11.41178179          0.00000000
        -11.40911513          0.00000000
        -11.40644846          0.00000000
        -11.40378179          0.00000000
        -11.40111513          0.00000000
        -11.39844846          0.00000000
        -11.39578179          0.00000000
        -11.39311513          0.00000000
        -11.39044846          0.00000000
        -11.38778179          0.00000000
        -11.38511513          0.00000000
        -11.38244846          0.00000000
        -11.37978179          0.00000000
        -11.37711513          0.00000000
        -11.37444846          0.00000000
        -11.37178179          0.00000000
        -11.36911513          0.00000000
        -11.36644846          0.00000000
        -11.36378179          0.00000000
        -11.36111513          0.00000000
        -11.35844846          0.00000000
        -11.35578179          0.00000000
        -11.35311513          0.00000000
        -11.35044846          0.00000000
        -11.34778179          0.00000000
        -11.34511513          0.00000000
        -11.34244846          0.00000000
        -11.33978179          0.00000000
        -11.33711513          0.00000000
        -11.33444846          0.00000000
        -11.33178179          0.00000000
        -11.32911513          0.00000000
        -11.32644846          0.00000000
        -11.32378179          0.00000000
        -11.32111513          0.00000000
        -11.31844846          0.00000000
        -11.31578179          0.00000000
        -11.31311513          0.00000000
        -11.31044846          0.00000000
        -11.30778179          0.00000000
        -11.30511513          0.00000000
        -11.30244846          0.00000000
        -11.29978179          0.00000000
        -11.29711513          0.00000000
        -11.29444846          0.00000000
        -11.29178179          0.00000000
        -11.28911513          0.00000000
        -11.28644846          0.00000000
        -11.28378179          0.00000000
        -11.28111513          0.00000000
        -11.27844846          0.00000000
        -11.27578179          0.00000000
        -11.27311513          0.00000000
        -11.27044846          0.00000000
        -11.26778179          0.00000000
        -11.26511513          0.00000000
        -11.26244846          0.00000000
        -11.25978179          0.00000000
        -11.25711513          0.00000000
        -11.25444846          0.00000000
        -11.25178179          0.00000000
        -11.24911513          0.00000000
        -11.24644846          0.00000000
        -11.24378179          0.00000000
        -11.24111513          0.00000000
        -11.23844846          0.00000000
        -11.23578179          0.00000000
        -11.23311513          0.00000000
        -11.23044846          0.00000000
        -11.22778179          0.00000000
        -11.22511513          0.00000000
        -11.22244846          0.00000000
        -11.21978179          0.00000000
        -11.21711513          0.00000000
        -11.21444846          0.00000000
        -11.21178179          0.00000000
        -11.20911513          0.00000000
        -11.20644846          0.00000000
        -11.20378179          0.00000000
        -11.20111513          0.00000000
        -11.19844846          0.00000000
        -11.19578179          0.00000000
        -11.19311513          0.00000000
        -11.19044846          0.00000000
        -11.18778179          0.00000000
        -11.18511513          0.00000000
        -11.18244846          0.00000000
        -11.17978179          0.00000000
        -11.17711513          0.00000000
        -11.17444846          0.00000000
        -11.17178179          0.00000000
        -11.16911513          0.00000000
        -11.16644846          0.00000000
        -11.16378179          0.00000000
        -11.16111513          0.00000000
        -11.15844846          0.00000000
        -11.15578179          0.00000000
        -11.15311513          0.00000000
        -11.15044846          0.00000000
        -11.14778179          0.00000000
        -11.14511513          0.00000000
        -11.14244846          0.00000000
        -11.13978179          0.00000000
        -11.13711513          0.00000000
        -11.13444846          0.00000000
        -11.13178179          0.00000000
        -11.12911513          0.00000000
        -11.12644846          0.00000000
        -11.12378179          0.00000000
        -11.12111513          0.00000000
        -11.11844846          0.00000000
        -11.11578179          0.00000000
        -11.11311513          0.00000000
        -11.11044846          0.00000000
        -11.10778179          0.00000000
        -11.10511513          0.00000000
        -11.10244846          0.00000000
        -11.09978179          0.00000000
        -11.09711513          0.00000000
        -11.09444846          0.00000000
        -11.09178179          0.00000000
        -11.08911513          0.00000000
        -11.08644846          0.00000000
        -11.08378179          0.00000000
        -11.08111513          0.00000000
        -11.07844846          0.00000000
        -11.07578179          0.00000000
        -11.07311513          0.00000000
        -11.07044846          0.00000000
        -11.06778179          0.00000000
        -11.06511513          0.00000000
        -11.06244846          0.00000000
        -11.05978179          0.00000000
        -11.05711513          0.00000000
        -11.05444846          0.00000000
        -11.05178179          0.00000000
        -11.04911513          0.00000000
        -11.04644846          0.00000000
        -11.04378179          0.00000000
        -11.04111513          0.00000000
        -11.03844846          0.00000000
        -11.03578179          0.00000000
        -11.03311513          0.00000000
        -11.03044846          0.00000000
        -11.02778179          0.00000000
        -11.02511513          0.00000000
        -11.02244846          0.00000000
        -11.01978179          0.00000000
        -11.01711513          0.00000000
        -11.01444846          0.00000000
        -11.01178179          0.00000000
        -11.00911513          0.00000000
        -11.00644846          0.00000000
        -11.00378179          0.00000000
        -11.00111513          0.00000000
        -10.99844846          0.00000000
        -10.99578179          0.00000000
        -10.99311513          0.00000000
        -10.99044846          0.00000000
        -10.98778179          0.00000000
        -10.98511513          0.00000000
        -10.98244846          0.00000000
        -10.97978179          0.00000000
        -10.97711513          0.00000000
        -10.97444846          0.00000000
        -10.97178179          0.00000000
        -10.96911513          0.00000000
        -10.96644846          0.00000000
        -10.96378179          0.00000000
        -10.96111513          0.00000000
        -10.95844846          0.00000000
        -10.95578179          0.00000000
        -10.95311513          0.00000000
        -10.95044846          0.00000000
        -10.94778179          0.00000000
        -10.94511513          0.00000000
        -10.94244846          0.00000000
        -10.93978179          0.00000000
        -10.93711513          0.00000000
        -10.93444846          0.00000000
        -10.93178179          0.00000000
        -10.92911513          0.00000000
        -10.92644846          0.00000000
        -10.92378179          0.00000000
        -10.92111513          0.00000000
        -10.91844846          0.00000000
        -10.91578179          0.00000000
        -10.91311513          0.00000000
        -10.91044846          0.00000000
        -10.90778179          0.00000000
        -10.90511513          0.00000000
        -10.90244846          0.00000000
        -10.89978179          0.00000000
        -10.89711513          0.00000000
        -10.89444846          0.00000000
        -10.89178179          0.00000000
        -10.88911513          0.00000000
        -10.88644846          0.00000000
        -10.88378179          0.00000000
        -10.88111513          0.00000000
        -10.87844846          0.00000000
        -10.87578179          0.00000000
        -10.87311513          0.00000000
        -10.87044846          0.00000000
        -10.86778179          0.00000000
        -10.86511513          0.00000000
        -10.86244846          0.00000000
        -10.85978179          0.00000000
        -10.85711513          0.00000000
        -10.85444846          0.00000000
        -10.85178179          0.00000000
        -10.84911513          0.00000000
        -10.84644846          0.00000000
        -10.84378179          0.00000000
        -10.84111513          0.00000000
        -10.83844846          0.00000000
        -10.83578179          0.00000000
        -10.83311513          0.00000000
        -10.83044846          0.00000000
        -10.82778179          0.00000000
        -10.82511513          0.00000000
        -10.82244846          0.00000000
        -10.81978179          0.00000000
        -10.81711513          0.00000000
        -10.81444846          0.00000000
        -10.81178179          0.00000000
        -10.80911513          0.00000000
        -10.80644846          0.00000000
        -10.80378179          0.00000000
        -10.80111513          0.00000000
        -10.79844846          0.00000000
        -10.79578179          0.00000000
        -10.79311513          0.00000000
        -10.79044846          0.00000000
        -10.78778179          0.00000000
        -10.78511513          0.00000000
        -10.78244846          0.00000000
        -10.77978179          0.00000000
        -10.77711513          0.00000000
        -10.77444846          0.00000000
        -10.77178179          0.00000000
        -10.76911513          0.00000000
        -10.76644846          0.00000000
        -10.76378179          0.00000000
        -10.76111513          0.00000000
        -10.75844846          0.00000000
        -10.75578179          0.00000000
        -10.75311513          0.00000000
        -10.75044846          0.00000000
        -10.74778179          0.00000000
        -10.74511513          0.00000000
        -10.74244846          0.00000000
        -10.73978179          0.00000000
        -10.73711513          0.00000000
        -10.73444846          0.00000000
        -10.73178179          0.00000000
        -10.72911513          0.00000000
